Gene,Non-unique Gene name,Annotation,KP1766,KP1768,NJST258_1,NR5632,SRR7345603
group_391,,hypothetical protein,MFCJNMFM_02520,JIEPOILB_02740,,KGLDIDPM_02522,CFOCILDN_00554
ykoT,ykoT,putative glycosyltransferase YkoT,,JIEPOILB_01801,MHMAIFBA_01771,KGLDIDPM_01798,CFOCILDN_04806
group_378,,hypothetical protein,MFCJNMFM_01089,JIEPOILB_01089,,KGLDIDPM_01088,CFOCILDN_01358
qorA_1,qorA_1,Quinone oxidoreductase 1,MFCJNMFM_02307,JIEPOILB_02954,,KGLDIDPM_02309,CFOCILDN_00766
rbsC_6,rbsC_6,Ribose import permease protein RbsC,MFCJNMFM_04730,JIEPOILB_04734,,KGLDIDPM_04734,CFOCILDN_03513
rbsC_1,rbsC_1,Ribose import permease protein RbsC,MFCJNMFM_02610,JIEPOILB_02650,,KGLDIDPM_02612,CFOCILDN_00464
rbsK_3,rbsK_3,Ribokinase,MFCJNMFM_04732,JIEPOILB_04736,,KGLDIDPM_04736,CFOCILDN_03515
pdxA2_2,pdxA2_2,D-erythronate 4-phosphate dehydrogenase,MFCJNMFM_03160,JIEPOILB_02100,,KGLDIDPM_03164,CFOCILDN_03363
ptxD,ptxD,Phosphonate dehydrogenase,MFCJNMFM_05463,JIEPOILB_05456,MHMAIFBA_05077,KGLDIDPM_05455,
kdgT,kdgT,2-keto-3-deoxygluconate permease,MFCJNMFM_03158,JIEPOILB_02102,,KGLDIDPM_03162,CFOCILDN_03361
rbsR_1,rbsR_1,Ribose operon repressor,MFCJNMFM_02612,JIEPOILB_02648,,KGLDIDPM_02614,CFOCILDN_00462
group_345,,hypothetical protein,MFCJNMFM_04071,JIEPOILB_04075,,KGLDIDPM_04075,CFOCILDN_04038
group_338,,hypothetical protein,MFCJNMFM_04504,JIEPOILB_04508,,KGLDIDPM_04508,CFOCILDN_03042
group_321,,hypothetical protein,MFCJNMFM_01786,JIEPOILB_01785,,KGLDIDPM_01782,CFOCILDN_03356
phnI,phnI,Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI,MFCJNMFM_04720,JIEPOILB_04724,,KGLDIDPM_04724,CFOCILDN_03503
lacI_1,lacI_1,Lactose operon repressor,MFCJNMFM_02742,JIEPOILB_02518,,KGLDIDPM_02744,CFOCILDN_00332
group_307,,hypothetical protein,MFCJNMFM_02734,JIEPOILB_02526,,KGLDIDPM_02736,CFOCILDN_00340
group_304,,hypothetical protein,MFCJNMFM_01522,JIEPOILB_01523,,KGLDIDPM_01520,CFOCILDN_04754
opd,opd,Parathion hydrolase,MFCJNMFM_02609,JIEPOILB_02651,,KGLDIDPM_02611,CFOCILDN_00465
pglH,pglH,GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-14-N-acetyl-D-galactosaminyltransferase,MFCJNMFM_01787,JIEPOILB_01786,,KGLDIDPM_01783,CFOCILDN_03357
group_299,,hypothetical protein,MFCJNMFM_01504,JIEPOILB_01505,,KGLDIDPM_01502,CFOCILDN_04541
group_298,,hypothetical protein,MFCJNMFM_00994,JIEPOILB_00995,,KGLDIDPM_00994,CFOCILDN_01450
mdtA_3,mdtA_3,Multidrug resistance protein MdtA,MFCJNMFM_03664,JIEPOILB_03668,,KGLDIDPM_03668,CFOCILDN_04711
group_296,,hypothetical protein,MFCJNMFM_02745,JIEPOILB_02515,,KGLDIDPM_02747,CFOCILDN_00329
oatA,oatA,O-acetyltransferase OatA,MFCJNMFM_01561,JIEPOILB_01562,,KGLDIDPM_01559,CFOCILDN_04716
group_289,,hypothetical protein,MFCJNMFM_01560,JIEPOILB_01561,,KGLDIDPM_01558,CFOCILDN_04717
group_288,,hypothetical protein,MFCJNMFM_04743,JIEPOILB_04747,,KGLDIDPM_04747,CFOCILDN_03526
rhaS_4,rhaS_4,HTH-type transcriptional activator RhaS,MFCJNMFM_02739,JIEPOILB_02521,,KGLDIDPM_02741,CFOCILDN_00335
group_285,,hypothetical protein,MFCJNMFM_04073,JIEPOILB_04077,,KGLDIDPM_04077,CFOCILDN_04036
group_281,,hypothetical protein,MFCJNMFM_02737,JIEPOILB_02523,,KGLDIDPM_02739,CFOCILDN_00337
fruA_3,fruA_3,PTS system fructose-specific EIIB'BC component,MFCJNMFM_02600,JIEPOILB_02660,,KGLDIDPM_02602,CFOCILDN_00474
thiO,thiO,Glycine oxidase,MFCJNMFM_04400,JIEPOILB_04404,,KGLDIDPM_04404,CFOCILDN_00999
argE_1,argE_1,Acetylornithine deacetylase,MFCJNMFM_02607,JIEPOILB_02653,,KGLDIDPM_02609,CFOCILDN_00467
pglA,pglA,NN'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-13-N-acetylgalactosaminyltransferase,,JIEPOILB_01798,MHMAIFBA_01768,KGLDIDPM_01795,CFOCILDN_04803
phnM,phnM,Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase,MFCJNMFM_04724,JIEPOILB_04728,,KGLDIDPM_04728,CFOCILDN_03507
wcaJ,wcaJ,UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase,MFCJNMFM_04065,JIEPOILB_04069,,KGLDIDPM_04069,CFOCILDN_04044
group_259,,hypothetical protein,MFCJNMFM_01001,JIEPOILB_01002,,KGLDIDPM_01001,CFOCILDN_01443
group_256,,hypothetical protein,MFCJNMFM_04042,JIEPOILB_04046,,KGLDIDPM_04046,CFOCILDN_04067
group_248,,hypothetical protein,MFCJNMFM_00502,JIEPOILB_00503,MHMAIFBA_00453,KGLDIDPM_00502,
group_247,intA_3,Prophage integrase IntA,MFCJNMFM_01517,JIEPOILB_01518,,KGLDIDPM_01515,CFOCILDN_04759
adhE_3,adhE_3,Aldehyde-alcohol dehydrogenase,MFCJNMFM_04447,JIEPOILB_04451,,KGLDIDPM_04451,CFOCILDN_00952
intS,intS,Prophage integrase IntS,MFCJNMFM_04028,JIEPOILB_04032,,KGLDIDPM_04032,CFOCILDN_04081
group_238,intA_2,Prophage integrase IntA,MFCJNMFM_01204,JIEPOILB_01204,,KGLDIDPM_01202,CFOCILDN_03968
group_234,,hypothetical protein,MFCJNMFM_02730,JIEPOILB_02530,,KGLDIDPM_02732,CFOCILDN_00344
group_232,,hypothetical protein,MFCJNMFM_01093,JIEPOILB_01093,,KGLDIDPM_01092,CFOCILDN_01354
group_230,,hypothetical protein,MFCJNMFM_04664,JIEPOILB_04668,,KGLDIDPM_04668,CFOCILDN_04643
arnC_2,arnC_2,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,,JIEPOILB_01799,MHMAIFBA_01769,KGLDIDPM_01796,CFOCILDN_04804
group_227,,hypothetical protein,MFCJNMFM_02602,JIEPOILB_02658,,KGLDIDPM_02604,CFOCILDN_00472
group_226,,hypothetical protein,MFCJNMFM_01498,JIEPOILB_01499,,KGLDIDPM_01496,CFOCILDN_04547
glgM,glgM,Alpha-maltose-1-phosphate synthase,MFCJNMFM_04072,JIEPOILB_04076,,KGLDIDPM_04076,CFOCILDN_04037
group_224,,hypothetical protein,MFCJNMFM_04069,JIEPOILB_04073,,KGLDIDPM_04073,CFOCILDN_04040
bluF_1,bluF_1,Blue light- and temperature-regulated antirepressor BluF,MFCJNMFM_02756,JIEPOILB_02504,,KGLDIDPM_02758,CFOCILDN_00318
prsE,prsE,Type I secretion system membrane fusion protein PrsE,MFCJNMFM_03285,JIEPOILB_01975,,KGLDIDPM_03289,CFOCILDN_03488
group_221,,hypothetical protein,MFCJNMFM_01543,JIEPOILB_01544,,KGLDIDPM_01541,CFOCILDN_04734
intA_1,intA_1,Prophage integrase IntA,MFCJNMFM_00490,JIEPOILB_00491,MHMAIFBA_00441,KGLDIDPM_00490,
rafB_2,rafB_2,Raffinose permease,MFCJNMFM_04577,JIEPOILB_04581,,KGLDIDPM_04581,CFOCILDN_02971
group_215,,hypothetical protein,MFCJNMFM_01545,JIEPOILB_01546,,KGLDIDPM_01543,CFOCILDN_04732
group_213,,hypothetical protein,MFCJNMFM_00504,JIEPOILB_00505,MHMAIFBA_00455,KGLDIDPM_00504,
group_210,,hypothetical protein,MFCJNMFM_01511,JIEPOILB_01512,,KGLDIDPM_01509,CFOCILDN_04534
group_208,,hypothetical protein,MFCJNMFM_01783,JIEPOILB_01782,,KGLDIDPM_01779,CFOCILDN_03353
hcnB,hcnB,Hydrogen cyanide synthase subunit HcnB,MFCJNMFM_04402,JIEPOILB_04406,,KGLDIDPM_04406,CFOCILDN_00997
group_207,,IS1380 family transposase ISEcp1,MFCJNMFM_00119,JIEPOILB_00118,,KGLDIDPM_00118,CFOCILDN_02680
otnK,otnK,3-oxo-tetronate kinase,MFCJNMFM_02750,JIEPOILB_02510,,KGLDIDPM_02752,CFOCILDN_00324
lacY,lacY,Lactose permease,MFCJNMFM_02744,JIEPOILB_02516,,KGLDIDPM_02746,CFOCILDN_00330
sdcS,sdcS,Sodium-dependent dicarboxylate transporter SdcS,MFCJNMFM_03636,JIEPOILB_03640,,KGLDIDPM_03640,CFOCILDN_04683
amiC_2,amiC_2,Aliphatic amidase expression-regulating protein,MFCJNMFM_02736,JIEPOILB_02524,,KGLDIDPM_02738,CFOCILDN_00338
group_202,,hypothetical protein,MFCJNMFM_05357,JIEPOILB_05357,MHMAIFBA_05142,KGLDIDPM_05356,
licC_5,licC_5,Lichenan permease IIC component,MFCJNMFM_02516,JIEPOILB_02744,,KGLDIDPM_02518,CFOCILDN_00558
group_194,,hypothetical protein,MFCJNMFM_02519,JIEPOILB_02741,,KGLDIDPM_02521,CFOCILDN_00555
cvaA,cvaA,Colicin V secretion protein CvaA,MFCJNMFM_04501,JIEPOILB_04505,,KGLDIDPM_04505,CFOCILDN_03045
group_193,,hypothetical protein,MFCJNMFM_04066,JIEPOILB_04070,,KGLDIDPM_04070,CFOCILDN_04043
arsB_pKW301,arsB_pKW301,arsenite efflux transporter membrane subunit ArsB,MFCJNMFM_05490,JIEPOILB_05483,MHMAIFBA_05104,KGLDIDPM_05482,
silB,silB,Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB,MFCJNMFM_05515,JIEPOILB_05508,MHMAIFBA_05129,KGLDIDPM_05507,
tuaB,tuaB,Teichuronic acid biosynthesis protein TuaB,MFCJNMFM_01790,JIEPOILB_01789,,KGLDIDPM_01786,CFOCILDN_04793
gltP,gltP,Proton/glutamate-aspartate symporter,MFCJNMFM_04739,JIEPOILB_04743,,KGLDIDPM_04743,CFOCILDN_03522
group_181,,hypothetical protein,MFCJNMFM_04676,JIEPOILB_04680,,KGLDIDPM_04680,CFOCILDN_04654
gudP_2,gudP_2,putative galactarate/D-glucarate transporter GudP,MFCJNMFM_02722,JIEPOILB_02538,,KGLDIDPM_02724,CFOCILDN_00352
pgaC,pgaC,Poly-beta-16-N-acetyl-D-glucosamine synthase,MFCJNMFM_04703,JIEPOILB_04707,,KGLDIDPM_04707,CFOCILDN_04912
bglF_2,bglF_2,PTS system beta-glucoside-specific EIIBCA component,MFCJNMFM_02632,JIEPOILB_02628,,KGLDIDPM_02634,CFOCILDN_00442
arsA_3,arsA_3,Arsenical pump-driving ATPase,MFCJNMFM_05494,JIEPOILB_05487,MHMAIFBA_05108,KGLDIDPM_05486,
tssK1_1,tssK1_1,Type VI secretion system baseplate component TssK1,MFCJNMFM_01009,JIEPOILB_01009,,KGLDIDPM_01008,CFOCILDN_01436
ghxP,ghxP,Guanine/hypoxanthine permease GhxP,MFCJNMFM_04752,JIEPOILB_04756,,KGLDIDPM_04756,CFOCILDN_03535
tssK1_2,tssK1_2,Type VI secretion system baseplate component TssK1,MFCJNMFM_01487,JIEPOILB_01488,,KGLDIDPM_01485,CFOCILDN_04557
melA,melA,Alpha-galactosidase,MFCJNMFM_04712,JIEPOILB_04716,,KGLDIDPM_04716,CFOCILDN_03495
ygbN,ygbN,Inner membrane permease YgbN,MFCJNMFM_02753,JIEPOILB_02507,,KGLDIDPM_02755,CFOCILDN_00321
group_171,,hypothetical protein,MFCJNMFM_04070,JIEPOILB_04074,,KGLDIDPM_04074,CFOCILDN_04039
silC,silC,Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC,MFCJNMFM_05517,JIEPOILB_05510,MHMAIFBA_05131,KGLDIDPM_05509,
pcoS,pcoS,copper resistance membrane spanning protein PcoS,MFCJNMFM_05503,JIEPOILB_05496,MHMAIFBA_05117,KGLDIDPM_05495,
melB,melB,Melibiose permease,MFCJNMFM_04711,JIEPOILB_04715,,KGLDIDPM_04715,CFOCILDN_03494
group_160,,hypothetical protein,MFCJNMFM_04075,JIEPOILB_04079,,KGLDIDPM_04079,CFOCILDN_04034
group_152,,hypothetical protein,MFCJNMFM_05403,JIEPOILB_05402,MHMAIFBA_05168,KGLDIDPM_05401,
group_146,,hypothetical protein,MFCJNMFM_00161,JIEPOILB_00160,,KGLDIDPM_00160,CFOCILDN_04878
group_145,,hypothetical protein,MFCJNMFM_03287,JIEPOILB_01973,,KGLDIDPM_03291,CFOCILDN_03490
bglH_2,bglH_2,Aryl-phospho-beta-D-glucosidase BglH,MFCJNMFM_02633,JIEPOILB_02627,,KGLDIDPM_02635,CFOCILDN_00441
group_140,,hypothetical protein,MFCJNMFM_01005,JIEPOILB_01005,,KGLDIDPM_01004,CFOCILDN_01440
group_139,,hypothetical protein,MFCJNMFM_01086,JIEPOILB_01086,,KGLDIDPM_01085,CFOCILDN_01361
group_138,,hypothetical protein,,JIEPOILB_01800,MHMAIFBA_01770,KGLDIDPM_01797,CFOCILDN_04805
group_132,,Type I restriction enzyme MpnII methylase subunit,MFCJNMFM_04663,JIEPOILB_04667,,KGLDIDPM_04667,CFOCILDN_04642
hsdM,hsdM,Type I restriction enzyme EcoR124I/EcoR124II methylase subunit,MFCJNMFM_04662,JIEPOILB_04666,,KGLDIDPM_04666,CFOCILDN_04641
proP_2,proP_2,Proline/betaine transporter,MFCJNMFM_04714,JIEPOILB_04718,,KGLDIDPM_04718,CFOCILDN_03497
gabR_3,gabR_3,HTH-type transcriptional regulatory protein GabR,MFCJNMFM_02629,JIEPOILB_02631,,KGLDIDPM_02631,CFOCILDN_00445
group_130,,hypothetical protein,MFCJNMFM_04679,JIEPOILB_04683,,KGLDIDPM_04683,CFOCILDN_04657
rbsA_2,rbsA_2,Ribose import ATP-binding protein RbsA,MFCJNMFM_04729,JIEPOILB_04733,,KGLDIDPM_04733,CFOCILDN_03512
group_116,,hypothetical protein,MFCJNMFM_02735,JIEPOILB_02525,,KGLDIDPM_02737,CFOCILDN_00339
adhE_2,adhE_2,Bifunctional aldehyde-alcohol dehydrogenase AdhE,MFCJNMFM_04445,JIEPOILB_04449,,KGLDIDPM_04449,CFOCILDN_00954
yveA,yveA,Aspartate-proton symporter,MFCJNMFM_04395,JIEPOILB_04399,,KGLDIDPM_04399,CFOCILDN_01004
group_112,,Alpha-ketoglutaric semialdehyde dehydrogenase,MFCJNMFM_04396,JIEPOILB_04400,,KGLDIDPM_04400,CFOCILDN_01003
group_109,,hypothetical protein,MFCJNMFM_01502,JIEPOILB_01503,,KGLDIDPM_01500,CFOCILDN_04543
nhaK,nhaK,Sodium potassium lithium and rubidium/H(+) antiporter,MFCJNMFM_04751,JIEPOILB_04755,,KGLDIDPM_04755,CFOCILDN_03534
actP,actP,Cation/acetate symporter ActP,MFCJNMFM_04742,JIEPOILB_04746,,KGLDIDPM_04746,CFOCILDN_03525
group_94,,hypothetical protein,MFCJNMFM_00511,JIEPOILB_00512,MHMAIFBA_00462,KGLDIDPM_00511,
pal_2,pal_2,Peptidoglycan-associated lipoprotein,MFCJNMFM_01489,JIEPOILB_01490,,KGLDIDPM_01487,CFOCILDN_04555
fdhF_3,fdhF_3,Formate dehydrogenase H,MFCJNMFM_04737,JIEPOILB_04741,,KGLDIDPM_04741,CFOCILDN_03520
pal_1,pal_1,Peptidoglycan-associated lipoprotein,MFCJNMFM_01007,JIEPOILB_01007,,KGLDIDPM_01006,CFOCILDN_01438
xerC_4,xerC_4,Tyrosine recombinase XerC,MFCJNMFM_05218,JIEPOILB_05214,MHMAIFBA_05246,KGLDIDPM_05215,
group_87,,hypothetical protein,MFCJNMFM_03159,JIEPOILB_02101,,KGLDIDPM_03163,CFOCILDN_03362
arsA_1,arsA_1,arsenite efflux transporter ATPase subunit ArsA,MFCJNMFM_05489,JIEPOILB_05482,MHMAIFBA_05103,KGLDIDPM_05481,
group_83,,hypothetical protein,MFCJNMFM_01541,JIEPOILB_01542,,KGLDIDPM_01539,CFOCILDN_04736
tssF1_1,tssF1_1,Type VI secretion system component TssF1,MFCJNMFM_00995,JIEPOILB_00996,,KGLDIDPM_00995,CFOCILDN_01449
tssF1_2,tssF1_2,Type VI secretion system component TssF1,MFCJNMFM_01503,JIEPOILB_01504,,KGLDIDPM_01501,CFOCILDN_04542
pcoA,pcoA,multicopper oxidase PcoA,MFCJNMFM_05508,JIEPOILB_05501,MHMAIFBA_05122,KGLDIDPM_05500,
group_72,,Tn3 family transposase IS3000,MFCJNMFM_00148,JIEPOILB_00147,,KGLDIDPM_00147,CFOCILDN_04925
pcrA,pcrA,ATP-dependent DNA helicase PcrA,MFCJNMFM_01376,JIEPOILB_01377,,KGLDIDPM_01374,CFOCILDN_03142
group_68,,hypothetical protein,,JIEPOILB_01795,MHMAIFBA_01765,KGLDIDPM_01792,CFOCILDN_04799
acs,acs,Acetyl-coenzyme A synthetase,MFCJNMFM_04740,JIEPOILB_04744,,KGLDIDPM_04744,CFOCILDN_03523
recF_2,recF_2,DNA replication and repair protein RecF,MFCJNMFM_01375,JIEPOILB_01376,,KGLDIDPM_01373,CFOCILDN_03143
group_65,,Glycine betaine transporter,MFCJNMFM_05355,JIEPOILB_05355,MHMAIFBA_05140,KGLDIDPM_05354,
bgaA,bgaA,Beta-galactosidase BgaA,MFCJNMFM_04576,JIEPOILB_04580,,KGLDIDPM_04580,CFOCILDN_02972
pgaB,pgaB,Poly-beta-16-N-acetyl-D-glucosamine N-deacetylase,MFCJNMFM_04702,JIEPOILB_04706,,KGLDIDPM_04706,CFOCILDN_04911
group_63,,hypothetical protein,MFCJNMFM_02083,JIEPOILB_03178,,KGLDIDPM_02086,CFOCILDN_02384
group_62,,hypothetical protein,MFCJNMFM_04691,JIEPOILB_04695,,KGLDIDPM_04695,CFOCILDN_04669
group_57,,hypothetical protein,MFCJNMFM_04068,JIEPOILB_04072,,KGLDIDPM_04072,CFOCILDN_04041
hlyB,hlyB,Alpha-hemolysin translocation ATP-binding protein HlyB,MFCJNMFM_04500,JIEPOILB_04504,,KGLDIDPM_04504,CFOCILDN_03046
group_55,,hypothetical protein,MFCJNMFM_00499,JIEPOILB_00500,MHMAIFBA_00450,KGLDIDPM_00499,
apxIB,apxIB,Toxin RTX-I translocation ATP-binding protein,MFCJNMFM_03286,JIEPOILB_01974,,KGLDIDPM_03290,CFOCILDN_03489
dbpA_2,dbpA_2,ATP-dependent RNA helicase DbpA,MFCJNMFM_04677,JIEPOILB_04681,,KGLDIDPM_04681,CFOCILDN_04655
rcsC_4,rcsC_4,Sensor histidine kinase RcsC,MFCJNMFM_04728,JIEPOILB_04732,,KGLDIDPM_04732,CFOCILDN_03511
group_48,,hypothetical protein,MFCJNMFM_04675,JIEPOILB_04679,,KGLDIDPM_04679,CFOCILDN_04653
vgrG2b_3,vgrG2b_3,Type VI secretion system spike protein VgrG2b,MFCJNMFM_01506,JIEPOILB_01507,,KGLDIDPM_01504,CFOCILDN_04539
vgrG2b_2,vgrG2b_2,Type VI secretion system spike protein VgrG2b,MFCJNMFM_01492,JIEPOILB_01493,,KGLDIDPM_01490,CFOCILDN_04552
group_40,,hypothetical protein,MFCJNMFM_02944,JIEPOILB_02316,,KGLDIDPM_02946,CFOCILDN_00130
silP,silP,Ag(+)-translocating P-type ATPase SilP,MFCJNMFM_05512,JIEPOILB_05505,MHMAIFBA_05126,KGLDIDPM_05504,
group_37,,hypothetical protein,MFCJNMFM_01965,JIEPOILB_01971,MHMAIFBA_03821,KGLDIDPM_01968,
pgaA,pgaA,Poly-beta-16-N-acetyl-D-glucosamine export protein,MFCJNMFM_04701,JIEPOILB_04705,,KGLDIDPM_04705,CFOCILDN_04910
group_33,,Tn3 family transposase Tn2,MFCJNMFM_00123,JIEPOILB_00122,,KGLDIDPM_00122,CFOCILDN_02676
vgrG2b_1,vgrG2b_1,Type VI secretion system spike protein VgrG2b,MFCJNMFM_01006,JIEPOILB_01006,,KGLDIDPM_01005,CFOCILDN_01439
steB,steB,fimbrial biogenesis outer membrane usher protein SteB,MFCJNMFM_04037,JIEPOILB_04041,,KGLDIDPM_04041,CFOCILDN_04072
fimD_2,fimD_2,Outer membrane usher protein FimD,MFCJNMFM_04745,JIEPOILB_04749,,KGLDIDPM_04749,CFOCILDN_03528
group_31,,hypothetical protein,MFCJNMFM_01559,JIEPOILB_01560,,KGLDIDPM_01557,CFOCILDN_04718
group_30,,Alpha-L-rhamnosidase,MFCJNMFM_02517,JIEPOILB_02743,,KGLDIDPM_02519,CFOCILDN_00557
traC_2,traC_2,Protein TraC,MFCJNMFM_05409,JIEPOILB_05408,MHMAIFBA_05176,KGLDIDPM_05407,
ctpF_1,ctpF_1,putative cation-transporting ATPase F,MFCJNMFM_03667,JIEPOILB_03671,,KGLDIDPM_03671,CFOCILDN_04714
group_26,,hypothetical protein,MFCJNMFM_01494,JIEPOILB_01495,,KGLDIDPM_01492,CFOCILDN_04550
clpK,clpK,heat shock survival AAA family ATPase ClpK,MFCJNMFM_05470,JIEPOILB_05463,MHMAIFBA_05084,KGLDIDPM_05462,
group_16,,hypothetical protein,MFCJNMFM_04665,JIEPOILB_04669,,KGLDIDPM_04669,CFOCILDN_04644
bepE,bepE,Efflux pump membrane transporter BepE,MFCJNMFM_03663,JIEPOILB_03667,,KGLDIDPM_03667,CFOCILDN_04710
group_13,,hypothetical protein,MFCJNMFM_01558,JIEPOILB_01559,,KGLDIDPM_01556,CFOCILDN_04719
lacZ,lacZ,Beta-galactosidase,MFCJNMFM_02743,JIEPOILB_02517,,KGLDIDPM_02745,CFOCILDN_00331
gtfA,gtfA,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit,MFCJNMFM_03284,JIEPOILB_01976,,KGLDIDPM_03288,CFOCILDN_03487
silA_2,silA_2,Cu(+)/Ag(+) efflux RND transporter permease subunit SilA,MFCJNMFM_05514,JIEPOILB_05507,MHMAIFBA_05128,KGLDIDPM_05506,
group_9,,hypothetical protein,MFCJNMFM_01000,JIEPOILB_01001,,KGLDIDPM_01000,CFOCILDN_01444
group_8,,hypothetical protein,MFCJNMFM_01499,JIEPOILB_01500,,KGLDIDPM_01497,CFOCILDN_04546
cutC_2,cutC_2,Choline trimethylamine-lyase,MFCJNMFM_04448,JIEPOILB_04452,,KGLDIDPM_04452,CFOCILDN_00951
group_3,,hypothetical protein,MFCJNMFM_01095,JIEPOILB_01095,,KGLDIDPM_01094,CFOCILDN_01352
group_0,,hypothetical protein,MFCJNMFM_04678,JIEPOILB_04682,,KGLDIDPM_04682,CFOCILDN_04656
group_2005,,IS3 family transposase ISKpn1,MFCJNMFM_04698,JIEPOILB_04702,,KGLDIDPM_04702,
group_1996,,hypothetical protein,MFCJNMFM_05136,JIEPOILB_05132,,KGLDIDPM_05133,
group_1987,,hypothetical protein,MFCJNMFM_04020,JIEPOILB_04024,,KGLDIDPM_04024,
group_1960,,hypothetical protein,MFCJNMFM_05371;MFCJNMFM_05370,JIEPOILB_05370,,KGLDIDPM_05369,
group_1953,,hypothetical protein,MFCJNMFM_05417,JIEPOILB_05416,,KGLDIDPM_05415,
group_1908,,IS3 family transposase ISEcl1,MFCJNMFM_00126,JIEPOILB_00125,,KGLDIDPM_00125,
merC_1,merC_1,Mercuric transport protein MerC,MFCJNMFM_05229,JIEPOILB_05225,,KGLDIDPM_05226,
xerC_5,xerC_5,Tyrosine recombinase XerC,MFCJNMFM_05241,JIEPOILB_05237,,KGLDIDPM_05238,
group_1888,,Putative transposase for insertion sequence element IS5376,MFCJNMFM_05456,JIEPOILB_05341,,KGLDIDPM_05343,
group_1884,,Putative transposase for insertion sequence element IS5376,MFCJNMFM_05212,JIEPOILB_05208,,KGLDIDPM_05209,
group_1882,,IS21 family transposase IS100kyp,MFCJNMFM_05211,JIEPOILB_05207,,KGLDIDPM_05208,
group_1880,,IS21 family transposase ISKpn7,MFCJNMFM_05106,JIEPOILB_05340,,KGLDIDPM_05342,
group_1877,,IS5 family transposase IS903,MFCJNMFM_05428,JIEPOILB_05427,,KGLDIDPM_05426,
group_1876,,IS3 family transposase ISKpn1,MFCJNMFM_03669,JIEPOILB_03673,,KGLDIDPM_03673,
group_1874,,IS3 family transposase ISKpn1,MFCJNMFM_03668,JIEPOILB_03672,,KGLDIDPM_03672,
group_1870,,hypothetical protein,MFCJNMFM_01313,JIEPOILB_01314,,KGLDIDPM_01311,
group_1866,,IS5 family transposase ISKpn26,MFCJNMFM_01795,JIEPOILB_01313,MHMAIFBA_02035,,
group_1865,,IS5 family transposase ISKpn26,MFCJNMFM_01202,JIEPOILB_01202,,KGLDIDPM_01200,
group_1863,,IS1 family transposase IS1R,MFCJNMFM_04584,JIEPOILB_04588,,KGLDIDPM_04588,
group_1861,,IS1 family transposase IS1R,MFCJNMFM_00969,JIEPOILB_00970,,KGLDIDPM_00969,
group_1860,,IS1 family transposase IS1R,MFCJNMFM_00890,JIEPOILB_00891,,KGLDIDPM_00890,
tktA_2,tktA_2,Transketolase 1,MFCJNMFM_03154,JIEPOILB_02106,,KGLDIDPM_03158,
group_1857,,IS4 family transposase IS421,MFCJNMFM_04792,JIEPOILB_04796,,KGLDIDPM_04796,
group_1856,,IS4 family transposase IS421,MFCJNMFM_00239,JIEPOILB_00239,,KGLDIDPM_00238,
group_1854,,hypothetical protein,MFCJNMFM_04793,JIEPOILB_04797,,KGLDIDPM_04797,
group_1853,,hypothetical protein,MFCJNMFM_00238,JIEPOILB_00238,,KGLDIDPM_00237,
umuC_1,umuC_1,Protein UmuC,MFCJNMFM_05368,JIEPOILB_05368,,KGLDIDPM_05367,
group_1852,umuD_1,Protein UmuD,MFCJNMFM_05369,JIEPOILB_05369,,KGLDIDPM_05368,
group_1851,,hypothetical protein,MFCJNMFM_05372,JIEPOILB_05371,,KGLDIDPM_05370,
group_1849,klcA_1,Antirestriction protein KlcA,MFCJNMFM_05373,JIEPOILB_05372,,KGLDIDPM_05371,
group_1847,,hypothetical protein,MFCJNMFM_05374,JIEPOILB_05373,,KGLDIDPM_05372,
group_1845,,hypothetical protein,MFCJNMFM_05375,JIEPOILB_05374,,KGLDIDPM_05373,
group_1843,,hypothetical protein,MFCJNMFM_05377,JIEPOILB_05376,,KGLDIDPM_05375,
group_1841,,hypothetical protein,MFCJNMFM_05378,JIEPOILB_05377,,KGLDIDPM_05376,
group_1838,,IS3 family transposase ISEcl1,MFCJNMFM_00127,JIEPOILB_00126,,KGLDIDPM_00126,
group_1837,,IS6 family transposase IS26,MFCJNMFM_05450,JIEPOILB_05449,,KGLDIDPM_05448,
group_1836,,IS6 family transposase IS26,MFCJNMFM_05247,JIEPOILB_05243,,KGLDIDPM_05244,
group_1835,,IS6 family transposase IS26,MFCJNMFM_00167,JIEPOILB_00167,,KGLDIDPM_00166,
group_1834,,IS6 family transposase IS26,MFCJNMFM_00152,JIEPOILB_00151,,KGLDIDPM_00151,
group_1833,,IS6 family transposase IS26,MFCJNMFM_00140,JIEPOILB_00139,,KGLDIDPM_00139,
group_1832,,IS6 family transposase IS26,MFCJNMFM_00136,JIEPOILB_00135,,KGLDIDPM_00135,
group_1780,,hypothetical protein,MFCJNMFM_05266,JIEPOILB_05262,,KGLDIDPM_05263,
